"","broadband","blogs","onlinenews","income","age","race","educ1","interest","age1","sex","pid"
"554",NA,NA,NA,"[1,4]",67,"White","HS or Less",1,"(57,86]","Male","Democrat"
"555",NA,NA,NA,"[1,4]",77,"White","HS or Less",1,"(57,86]","Male","Repubican"
"556","Dial-Up",0,0,"[1,4]",19,"White","HS or Less",3,"[18,40]","Male","Repubican"
"557","High Speed",0,0,"(6,8]",60,"White","College",1,"(57,86]","Male","Independent"
"558","High Speed",NA,NA,"(4,6]",49,"White","College",1,"(40,57]","Female","Democrat"
"559","Dial-Up",NA,NA,NA,74,"White","HS or Less",1,"(57,86]","Female","Independent"
"560","Dial-Up",NA,NA,"[1,4]",22,"Non-Whte","Some College",4,"[18,40]","Female","Independent"
"561",NA,0,0,"(4,6]",47,"White","Some College",2,"(40,57]","Male","Repubican"
"562",NA,NA,NA,"[1,4]",47,"White","HS or Less",1,"(40,57]","Male","Repubican"
"563","Dial-Up",0.5,0,"(4,6]",62,"White","HS or Less",1,"(57,86]","Female","Democrat"
"564",NA,NA,NA,"[1,4]",43,"White","College",1,"(40,57]","Male","Independent"
"565",NA,NA,NA,"[1,4]",76,"White","HS or Less",1,"(57,86]","Female","Repubican"
"566",NA,NA,NA,"[1,4]",49,"White","HS or Less",1,"(40,57]","Female","Independent"
"567",NA,NA,NA,"(4,6]",29,"White","College",1,"[18,40]","Female","Repubican"
"568",NA,NA,NA,"(4,6]",42,"White","College",1,"(40,57]","Male","Democrat"
"569",NA,NA,NA,"[1,4]",26,"White","HS or Less",1,"[18,40]","Female","Repubican"
"570","High Speed",0,0,NA,NA,"White","Some College",1,NA,"Female","Repubican"
"571",NA,NA,NA,NA,52,"White","HS or Less",1,"(40,57]","Female","Repubican"
"572","High Speed",0,0,"(6,8]",45,"White","College",1,"(40,57]","Male","Repubican"
"573","High Speed",NA,NA,"(4,6]",27,"Non-Whte","Some College",3,"[18,40]","Male","Democrat"
"574","High Speed",NA,NA,"(6,8]",46,"White","College",2,"(40,57]","Female","Democrat"
"575","Dial-Up",0,0,"[1,4]",71,"White","Some College",1,"(57,86]","Female","Independent"
"576","Dial-Up",0,0,"[1,4]",70,"White","Some College",1,"(57,86]","Male","Democrat"
"577","High Speed",NA,NA,"[1,4]",40,"White","Some College",2,"[18,40]","Female","Democrat"
"578",NA,NA,NA,NA,62,"White","College",1,"(57,86]","Male","Independent"
"579",NA,NA,NA,"(4,6]",83,"White","College",1,"(57,86]","Female","Repubican"
"580","High Speed",NA,NA,"[1,4]",18,"White","HS or Less",1,"[18,40]","Female","Independent"
"581","Dial-Up",NA,NA,"(4,6]",41,"Non-Whte","Some College",2,"(40,57]","Female","Repubican"
"582","Dial-Up",0,0,"(4,6]",30,"White","Some College",3,"[18,40]","Male","Independent"
"583","Dial-Up",NA,NA,"(6,8]",48,"White","Some College",1,"(40,57]","Male","Repubican"
"584","Dial-Up",NA,NA,"(6,8]",35,"Non-Whte","College",2,"[18,40]","Female","Democrat"
"585",NA,NA,NA,"(4,6]",82,"White","Some College",2,"(57,86]","Male","Independent"
"586","Dial-Up",1,0,"[1,4]",24,"White","College",1,"[18,40]","Male","Repubican"
"587",NA,NA,NA,"[1,4]",50,"Non-Whte","HS or Less",1,"(40,57]","Female","Repubican"
"588",NA,NA,NA,NA,78,"White","Some College",1,"(57,86]","Male","Repubican"
"589",NA,NA,NA,NA,NA,"Non-Whte","Some College",2,NA,"Female","Independent"
"590","High Speed",NA,NA,"(6,8]",47,"White","College",1,"(40,57]","Male","Democrat"
"591","High Speed",0,0,"(6,8]",36,"White","College",2,"[18,40]","Female","Repubican"
"592","Dial-Up",NA,NA,"[1,4]",32,"White","College",2,"[18,40]","Male","Democrat"
"593","Dial-Up",NA,NA,"(4,6]",35,"White","Some College",2,"[18,40]","Female","Independent"
"594",NA,0,0,"[1,4]",50,"Non-Whte","HS or Less",2,"(40,57]","Female","Democrat"
"595","High Speed",1,1,"(6,8]",32,"White","College",1,"[18,40]","Male","Independent"
"596","High Speed",0,0,"(6,8]",33,"White","Some College",1,"[18,40]","Male","Repubican"
"597","Dial-Up",0,0,"(6,8]",37,"White","College",1,"[18,40]","Male","Repubican"
"598",NA,NA,NA,"[1,4]",51,"Non-Whte","HS or Less",2,"(40,57]","Female","Democrat"
"599","Dial-Up",NA,NA,"[1,4]",30,"White","Some College",3,"[18,40]","Male","Independent"
"600",NA,NA,NA,NA,74,"White","HS or Less",1,"(57,86]","Female","Independent"
"601","High Speed",0,0,"(6,8]",55,"White","HS or Less",1,"(40,57]","Male","Independent"
"602","High Speed",NA,NA,"(6,8]",53,"Non-Whte","College",1,"(40,57]","Male","Democrat"
"603",NA,NA,NA,NA,89,"White","College",1,NA,"Female","Repubican"
"604",NA,NA,NA,"(6,8]",40,"Non-Whte","Some College",2,"[18,40]","Female","Democrat"
"605","High Speed",0,0,"(6,8]",55,"White","College",1,"(40,57]","Female","Repubican"
"606",NA,NA,NA,"(6,8]",73,"White","College",1,"(57,86]","Male","Democrat"
"607","Dial-Up",NA,NA,"[1,4]",66,"Non-Whte","College",1,"(57,86]","Female","Independent"
"608",NA,NA,NA,"(4,6]",24,"White","HS or Less",2,"[18,40]","Female","Independent"
"609","High Speed",NA,NA,"(6,8]",51,"White","HS or Less",3,"(40,57]","Male","Democrat"
"610",NA,NA,NA,"[1,4]",68,"White","Some College",2,"(57,86]","Female","Repubican"
"611","High Speed",0,0,"(6,8]",50,"White","College",1,"(40,57]","Male","Independent"
"612",NA,NA,NA,"(4,6]",71,"White","Some College",3,"(57,86]","Female","Repubican"
"613","Dial-Up",NA,NA,"[1,4]",72,"White","HS or Less",1,"(57,86]","Male","Independent"
"614",NA,NA,NA,"[1,4]",62,"White","Some College",1,"(57,86]","Female","Democrat"
"615","High Speed",NA,NA,NA,50,"White","College",1,"(40,57]","Female","Democrat"
"616","High Speed",0,0,"(4,6]",45,"White","College",2,"(40,57]","Female","Democrat"
"617",NA,NA,NA,"(6,8]",51,"White","HS or Less",1,"(40,57]","Male","Democrat"
"618",NA,NA,NA,"[1,4]",27,"Non-Whte","Some College",2,"[18,40]","Female","Independent"
"619","Dial-Up",NA,NA,NA,61,"White","Some College",2,"(57,86]","Female","Democrat"
"620","Dial-Up",0,0,"[1,4]",23,"White","HS or Less",1,"[18,40]","Female","Democrat"
"621",NA,NA,NA,NA,66,"White","HS or Less",4,"(57,86]","Male","Independent"
"622","High Speed",0,0,"(6,8]",34,"White","Some College",2,"[18,40]","Male","Independent"
"623",NA,NA,NA,"(4,6]",57,"White","College",1,"(40,57]","Male","Democrat"
"624","High Speed",NA,NA,"[1,4]",51,"White","Some College",3,"(40,57]","Female","Independent"
"625",NA,NA,NA,NA,63,"White","HS or Less",1,"(57,86]","Female","Repubican"
"626",NA,NA,NA,"[1,4]",76,"Non-Whte","HS or Less",2,"(57,86]","Female","Democrat"
"627","Dial-Up",NA,0.5,"[1,4]",19,"Non-Whte","Some College",1,"[18,40]","Male","Democrat"
"628",NA,0,0,"[1,4]",25,"White","HS or Less",3,"[18,40]","Male","Democrat"
"629","High Speed",NA,NA,"(4,6]",30,"Non-Whte","College",2,"[18,40]","Female","Democrat"
"630",NA,NA,NA,NA,56,"Non-Whte","Some College",1,"(40,57]","Female","Democrat"
"631",NA,NA,NA,"[1,4]",86,"White","College",1,"(57,86]","Female","Democrat"
"632","High Speed",NA,NA,"[1,4]",69,"Non-Whte","Some College",1,"(57,86]","Female","Democrat"
"633","Dial-Up",NA,NA,"[1,4]",39,"White","Some College",1,"[18,40]","Male","Independent"
"634","Dial-Up",NA,NA,"[1,4]",36,"White","HS or Less",1,"[18,40]","Female","Democrat"
"635",NA,NA,NA,"(6,8]",45,"White","Some College",2,"(40,57]","Male","Independent"
"636","Dial-Up",1,0,"[1,4]",20,"White","HS or Less",1,"[18,40]","Male","Independent"
"637","Dial-Up",NA,NA,"(4,6]",48,"White","College",1,"(40,57]","Female","Independent"
"638",NA,NA,NA,NA,78,"White","HS or Less",1,"(57,86]","Male","Repubican"
"639",NA,NA,NA,"[1,4]",78,"White","HS or Less",2,"(57,86]","Female","Democrat"
"640",NA,NA,NA,"[1,4]",70,"White","HS or Less",2,"(57,86]","Male","Democrat"
"641","High Speed",1,0,"[1,4]",22,"White","Some College",1,"[18,40]","Male","Democrat"
"642",NA,NA,NA,"[1,4]",94,"White","HS or Less",1,NA,"Female","Independent"
"643","Dial-Up",0.5,0,NA,39,"White","College",1,"[18,40]","Female","Repubican"
"644",NA,NA,NA,"[1,4]",36,"White","HS or Less",4,"[18,40]","Male","Independent"
"645",NA,NA,NA,"[1,4]",34,"White","HS or Less",4,"[18,40]","Female","Repubican"
"646",NA,NA,NA,NA,70,"White","HS or Less",1,"(57,86]","Female","Democrat"
"647","High Speed",NA,NA,"(6,8]",33,"White","College",1,"[18,40]","Male","Repubican"
"648",NA,NA,NA,"(4,6]",65,"White","College",1,"(57,86]","Male","Democrat"
"649","Dial-Up",NA,NA,"(4,6]",51,"White","Some College",2,"(40,57]","Male","Independent"
"650","Dial-Up",NA,NA,"[1,4]",54,"White","HS or Less",4,"(40,57]","Female","Independent"
"651",NA,NA,NA,NA,40,"White","Some College",2,"[18,40]","Female","Repubican"
"652",NA,NA,NA,"[1,4]",71,"White","HS or Less",1,"(57,86]","Female","Democrat"
"653",NA,NA,NA,"(6,8]",44,"White","Some College",2,"(40,57]","Female","Independent"
"654",NA,NA,NA,"(4,6]",53,"White","HS or Less",1,"(40,57]","Male","Repubican"
"655","Dial-Up",0,0,"[1,4]",33,"Non-Whte","College",1,"[18,40]","Male","Democrat"
"656","High Speed",0.5,0.5,"(4,6]",27,"White","College",1,"[18,40]","Male","Repubican"
"657","High Speed",NA,NA,"(6,8]",21,"White","Some College",2,"[18,40]","Male","Democrat"
"658",NA,NA,NA,NA,75,"White","HS or Less",3,"(57,86]","Male","Independent"
"659",NA,NA,NA,"[1,4]",23,"White","HS or Less",3,"[18,40]","Female","Independent"
"660",NA,NA,NA,NA,73,"White","Some College",1,"(57,86]","Female","Democrat"
"661",NA,NA,NA,"[1,4]",45,"White","HS or Less",1,"(40,57]","Male","Repubican"
"662",NA,NA,NA,NA,40,"White","HS or Less",4,"[18,40]","Male","Independent"
"663","High Speed",0,0,NA,NA,"White","College",1,NA,"Male","Repubican"
"664",NA,NA,NA,"[1,4]",94,"White","HS or Less",2,NA,"Female","Repubican"
"665",NA,NA,NA,NA,32,"White","Some College",1,"[18,40]","Female","Independent"
"666","High Speed",NA,NA,"(6,8]",21,"White","Some College",2,"[18,40]","Female","Democrat"
"667",NA,NA,NA,"[1,4]",30,"White","HS or Less",1,"[18,40]","Male","Independent"
"668","High Speed",NA,NA,"(4,6]",56,"White","HS or Less",2,"(40,57]","Male","Repubican"
"669",NA,NA,NA,NA,NA,"White","College",1,NA,"Male","Independent"
"670",NA,0,0,"[1,4]",41,"White","HS or Less",1,"(40,57]","Female","Democrat"
"671",NA,NA,NA,"[1,4]",24,"White","Some College",2,"[18,40]","Female","Democrat"
"672",NA,NA,NA,NA,34,"White","HS or Less",1,"[18,40]","Male","Democrat"
"673",NA,NA,NA,"(6,8]",47,"White","College",1,"(40,57]","Male","Repubican"
"674",NA,NA,NA,NA,54,"White","Some College",2,"(40,57]","Female","Independent"
"675","Dial-Up",NA,NA,"(4,6]",26,"White","College",1,"[18,40]","Male","Repubican"
"676",NA,0,0.5,"[1,4]",27,"White","HS or Less",2,"[18,40]","Male","Democrat"
"677",NA,NA,NA,"(4,6]",52,"White","HS or Less",4,"(40,57]","Male","Independent"
"678",NA,NA,NA,"(6,8]",53,"White","College",1,"(40,57]","Female","Repubican"
"679",NA,NA,NA,"[1,4]",75,"White","HS or Less",2,"(57,86]","Female","Democrat"
"680","High Speed",NA,NA,"[1,4]",20,"White","HS or Less",4,"[18,40]","Male","Independent"
"681","High Speed",0,0,"(4,6]",34,"White","HS or Less",1,"[18,40]","Male","Independent"
"682","High Speed",NA,NA,NA,59,"White","College",1,"(57,86]","Male","Independent"
"683","High Speed",0,0,"(4,6]",49,"White","College",2,"(40,57]","Female","Repubican"
"684","High Speed",0,0,"(4,6]",36,"White","College",1,"[18,40]","Male","Repubican"
"685","High Speed",NA,NA,"(4,6]",69,"White","College",1,"(57,86]","Male","Repubican"
"686","Dial-Up",0,0,"[1,4]",36,"White","HS or Less",1,"[18,40]","Female","Democrat"
"687","High Speed",NA,NA,NA,63,"White","Some College",1,"(57,86]","Female","Independent"
"688","High Speed",1,1,"(6,8]",43,"White","College",1,"(40,57]","Female","Democrat"
"689",NA,NA,NA,NA,60,"White","HS or Less",1,"(57,86]","Male","Repubican"
"690",NA,NA,NA,"[1,4]",80,"White","Some College",1,"(57,86]","Female","Democrat"
"691",NA,NA,NA,"(4,6]",50,"White","HS or Less",2,"(40,57]","Male","Repubican"
"692",NA,NA,NA,"[1,4]",85,"White","College",1,"(57,86]","Female","Repubican"
"693","High Speed",0,0,"(4,6]",50,"White","Some College",2,"(40,57]","Female","Repubican"
"694","Dial-Up",NA,NA,"(6,8]",44,"White","College",1,"(40,57]","Male","Independent"
"695","High Speed",0,0,"(6,8]",34,"White","College",1,"[18,40]","Female","Repubican"
"696","High Speed",0.5,0,"(4,6]",47,"Non-Whte","College",1,"(40,57]","Female","Independent"
"697",NA,NA,NA,"(4,6]",43,"White","College",1,"(40,57]","Male","Democrat"
"698",NA,NA,NA,"(6,8]",51,"White","HS or Less",1,"(40,57]","Male","Independent"
"699","High Speed",0,0,"(4,6]",54,"White","College",1,"(40,57]","Male","Repubican"
"700",NA,NA,NA,"[1,4]",41,"White","HS or Less",2,"(40,57]","Male","Independent"
"701","High Speed",0,0,"(6,8]",53,"White","Some College",1,"(40,57]","Female","Independent"
"702","High Speed",NA,NA,"(6,8]",51,"White","College",1,"(40,57]","Male","Repubican"
"703","Dial-Up",0,0,NA,36,"White","College",1,"[18,40]","Female","Repubican"
"704",NA,NA,NA,NA,63,"White","Some College",1,"(57,86]","Female","Democrat"
"705","Dial-Up",0,0,NA,64,"White","HS or Less",1,"(57,86]","Female","Democrat"
"706","Dial-Up",NA,NA,"[1,4]",22,"White","Some College",1,"[18,40]","Female","Democrat"
"707","High Speed",0,0,"[1,4]",42,"White","HS or Less",1,"(40,57]","Male","Independent"
"708","High Speed",NA,NA,"(6,8]",59,"White","Some College",1,"(57,86]","Female","Repubican"
"709","High Speed",NA,NA,"(6,8]",40,"White","College",1,"[18,40]","Male","Repubican"
"710","High Speed",0,0,"(6,8]",51,"White","College",1,"(40,57]","Female","Democrat"
"711","Dial-Up",NA,NA,"[1,4]",64,"White","Some College",1,"(57,86]","Female","Democrat"
"712","High Speed",NA,NA,"(6,8]",55,"White","College",1,"(40,57]","Female","Repubican"
"713","High Speed",NA,NA,"(4,6]",33,"White","HS or Less",1,"[18,40]","Male","Independent"
"714","High Speed",0,0,"(6,8]",56,"White","College",1,"(40,57]","Male","Repubican"
"715","Dial-Up",0,0,"(6,8]",29,"Non-Whte","College",1,"[18,40]","Female","Democrat"
"716","High Speed",0,0,"[1,4]",73,"White","Some College",1,"(57,86]","Female","Repubican"
"717",NA,0,0,"[1,4]",36,"Non-Whte","Some College",2,"[18,40]","Female","Democrat"
"718",NA,NA,NA,NA,80,"White","HS or Less",1,"(57,86]","Female","Independent"
"719","Dial-Up",0,0,"(4,6]",52,"White","Some College",1,"(40,57]","Female","Repubican"
"720","Dial-Up",NA,NA,NA,63,"White","College",1,"(57,86]","Male","Repubican"
"721","High Speed",NA,NA,"(6,8]",54,"White","College",1,"(40,57]","Male","Repubican"
"722","High Speed",NA,NA,NA,68,"White","Some College",1,"(57,86]","Female","Democrat"
"723","Dial-Up",0,0,"[1,4]",26,"White","HS or Less",2,"[18,40]","Female","Independent"
"724",NA,NA,NA,"[1,4]",71,"White","HS or Less",1,"(57,86]","Male","Repubican"
"725","Dial-Up",0,0,"[1,4]",76,"White","HS or Less",1,"(57,86]","Male","Repubican"
"726","High Speed",0,0,"(6,8]",55,"White","College",1,"(40,57]","Female","Democrat"
"727",NA,NA,NA,NA,72,"White","HS or Less",1,"(57,86]","Male","Repubican"
"728","High Speed",0,0.5,"[1,4]",19,"White","HS or Less",4,"[18,40]","Male","Repubican"
"729","High Speed",NA,NA,"(6,8]",49,"White","Some College",1,"(40,57]","Female","Independent"
"730",NA,0,0,NA,39,"White","College",3,"[18,40]","Female","Independent"
"731",NA,NA,NA,NA,65,"White","College",2,"(57,86]","Male","Independent"
"732",NA,NA,NA,NA,60,"White","College",1,"(57,86]","Male","Democrat"
"733",NA,0,0,"(4,6]",51,"White","HS or Less",1,"(40,57]","Female","Independent"
"734",NA,NA,NA,"(6,8]",58,"White","HS or Less",3,"(57,86]","Male","Independent"
"735",NA,NA,NA,"(6,8]",68,"Non-Whte","College",1,"(57,86]","Male","Repubican"
"736",NA,NA,NA,"[1,4]",77,"Non-Whte","HS or Less",1,"(57,86]","Female","Repubican"
"737",NA,NA,NA,NA,NA,"White","Some College",1,NA,"Male","Independent"
"738","High Speed",0,0,"(4,6]",35,"White","Some College",1,"[18,40]","Female","Repubican"
"739",NA,NA,NA,"[1,4]",89,"White",NA,4,NA,"Male","Democrat"
"740","Dial-Up",NA,NA,"(4,6]",30,"White","Some College",2,"[18,40]","Female","Repubican"
"741",NA,NA,NA,NA,71,"White","College",1,"(57,86]","Male","Independent"
"742",NA,NA,NA,"[1,4]",72,"White","Some College",1,"(57,86]","Female","Independent"
"743",NA,NA,NA,"[1,4]",72,"White","HS or Less",1,"(57,86]","Female","Democrat"
"744",NA,NA,NA,NA,80,"White","HS or Less",3,"(57,86]","Female","Democrat"
"745",NA,NA,NA,NA,48,"White","Some College",1,"(40,57]","Male","Independent"
"746","Dial-Up",0,0,NA,67,"White","Some College",1,"(57,86]","Female","Repubican"
"747",NA,NA,NA,"[1,4]",61,"White","College",1,"(57,86]","Female","Democrat"
"748","Dial-Up",NA,NA,"[1,4]",37,"White","HS or Less",3,"[18,40]","Female","Repubican"
"749","Dial-Up",NA,NA,"(4,6]",37,"White","Some College",1,"[18,40]","Male","Independent"
"750","Dial-Up",0,0,"(6,8]",33,"White","HS or Less",2,"[18,40]","Female","Democrat"
"751","Dial-Up",NA,NA,"[1,4]",50,"White","HS or Less",3,"(40,57]","Male","Independent"
"752","Dial-Up",NA,NA,"(4,6]",47,"White","HS or Less",2,"(40,57]","Female","Democrat"
"753","High Speed",NA,NA,"(6,8]",45,"White","College",1,"(40,57]","Female","Repubican"
"754",NA,0,0,"[1,4]",48,"White","HS or Less",1,"(40,57]","Female","Democrat"
"755",NA,NA,NA,"[1,4]",55,"White","HS or Less",2,"(40,57]","Female","Democrat"
"756",NA,NA,NA,"[1,4]",18,"Non-Whte","HS or Less",2,"[18,40]","Male","Democrat"
"757","High Speed",NA,NA,"(6,8]",57,"White","College",1,"(40,57]","Female","Independent"
"758","High Speed",0,0,"[1,4]",30,"White","College",4,"[18,40]","Male","Independent"
"759","High Speed",1,0,"[1,4]",27,"Non-Whte","College",2,"[18,40]","Female","Democrat"
"760",NA,NA,NA,"(4,6]",69,"White","College",2,"(57,86]","Male","Independent"
"761",NA,NA,NA,NA,NA,"White","HS or Less",4,NA,"Female","Independent"
"762",NA,NA,NA,"[1,4]",48,"White","College",1,"(40,57]","Female","Democrat"
"763","High Speed",NA,NA,"(4,6]",33,"White","College",1,"[18,40]","Male","Independent"
"764",NA,NA,NA,"(4,6]",67,"White","Some College",1,"(57,86]","Female","Democrat"
"765","High Speed",0,0,"(4,6]",27,"White","HS or Less",1,"[18,40]","Female","Independent"
"766","Dial-Up",0,0,"[1,4]",64,"White","HS or Less",3,"(57,86]","Male","Democrat"
"767","Dial-Up",0,0,NA,62,"White","College",1,"(57,86]","Male","Independent"
"768",NA,NA,NA,NA,83,"White","HS or Less",1,"(57,86]","Female","Repubican"
"769",NA,0,0,NA,59,"White","College",1,"(57,86]","Female","Democrat"
"770",NA,NA,NA,"[1,4]",82,"White","Some College",2,"(57,86]","Female","Democrat"
"771",NA,NA,NA,"(6,8]",43,"White","College",3,"(40,57]","Male","Democrat"
"772",NA,NA,NA,"(6,8]",50,"White","Some College",1,"(40,57]","Male","Repubican"
"773","Dial-Up",NA,NA,"[1,4]",29,"White","College",1,"[18,40]","Female","Democrat"
"774",NA,NA,NA,"[1,4]",85,"White","HS or Less",3,"(57,86]","Male","Independent"
"775","High Speed",NA,NA,"[1,4]",24,"White","Some College",2,"[18,40]","Female","Repubican"
"776","Dial-Up",NA,NA,"[1,4]",18,"Non-Whte","HS or Less",2,"[18,40]","Male","Democrat"
"777",NA,NA,NA,NA,18,"Non-Whte","Some College",1,"[18,40]","Female","Independent"
"778",NA,NA,NA,"[1,4]",37,"White","College",2,"[18,40]","Female","Democrat"
"779",NA,0,0,"(6,8]",53,"Non-Whte","College",1,"(40,57]","Female","Independent"
"780","Dial-Up",0,0,"[1,4]",27,"White","Some College",2,"[18,40]","Female","Democrat"
"781","High Speed",0,0,"(4,6]",37,"White","HS or Less",4,"[18,40]","Female","Independent"
"782","High Speed",0,0,NA,43,"White","HS or Less",3,"(40,57]","Male","Repubican"
"783",NA,NA,NA,NA,64,"White","HS or Less",1,"(57,86]","Female","Independent"
"784",NA,NA,NA,"(4,6]",48,"White","College",2,"(40,57]","Female","Democrat"
"785",NA,NA,NA,NA,NA,"White","HS or Less",2,NA,"Male","Independent"
"786",NA,NA,NA,"[1,4]",31,"Non-Whte","HS or Less",1,"[18,40]","Female","Democrat"
"787","High Speed",0.5,0.5,"(4,6]",30,"White","Some College",1,"[18,40]","Male","Independent"
"788",NA,NA,NA,"[1,4]",48,"Non-Whte","HS or Less",1,"(40,57]","Female","Democrat"
"789","High Speed",NA,NA,"[1,4]",27,"White","HS or Less",4,"[18,40]","Male","Independent"
"790","Dial-Up",0,0,"[1,4]",57,"White","Some College",2,"(40,57]","Female","Democrat"
"791",NA,NA,NA,"(4,6]",57,"Non-Whte","College",2,"(40,57]","Male","Independent"
"792",NA,0,0,"[1,4]",36,"White","HS or Less",3,"[18,40]","Male","Independent"
"793","Dial-Up",NA,NA,"[1,4]",24,"Non-Whte","Some College",2,"[18,40]","Female","Democrat"
"794",NA,NA,NA,"[1,4]",51,"White","HS or Less",1,"(40,57]","Male","Democrat"
"795","Dial-Up",0,0,"[1,4]",59,"White","College",2,"(57,86]","Female","Independent"
"796","Dial-Up",NA,NA,NA,53,"White","Some College",1,"(40,57]","Female","Independent"
"797","High Speed",NA,NA,"(6,8]",46,"Non-Whte","College",1,"(40,57]","Male","Repubican"
"798","High Speed",NA,NA,"[1,4]",20,"White","HS or Less",1,"[18,40]","Male","Democrat"
"799",NA,NA,NA,"(4,6]",53,"White","College",1,"(40,57]","Male","Repubican"
"800","Dial-Up",0,0,"(4,6]",40,"White","HS or Less",2,"[18,40]","Female","Repubican"
"801","High Speed",NA,NA,"(6,8]",42,"White","Some College",1,"(40,57]","Male","Independent"
"802","High Speed",0,0,NA,20,"Non-Whte","Some College",1,"[18,40]","Male","Repubican"
"803",NA,NA,NA,NA,NA,"White",NA,2,NA,"Female","Democrat"
"804",NA,NA,NA,"(6,8]",69,"White","Some College",1,"(57,86]","Male","Independent"
"805","Dial-Up",0.5,0,NA,65,"White","College",1,"(57,86]","Male","Repubican"
"806",NA,NA,NA,NA,31,"White","HS or Less",3,"[18,40]","Male","Independent"
"807","Dial-Up",NA,NA,"[1,4]",23,"White","Some College",1,"[18,40]","Female","Democrat"
"808",NA,NA,NA,"[1,4]",83,"White","Some College",1,"(57,86]","Female","Repubican"
"809",NA,NA,NA,NA,74,"White","Some College",1,"(57,86]","Female","Democrat"
"810",NA,NA,NA,"(6,8]",31,"White","College",2,"[18,40]","Male","Repubican"
"811","Dial-Up",NA,NA,"[1,4]",26,"Non-Whte","HS or Less",3,"[18,40]","Female","Independent"
"812","High Speed",NA,NA,"[1,4]",55,"White","HS or Less",1,"(40,57]","Female","Repubican"
"813",NA,NA,NA,"[1,4]",42,"White","College",1,"(40,57]","Male","Repubican"
"814",NA,NA,NA,NA,75,"White","HS or Less",1,"(57,86]","Female","Democrat"
"815",NA,NA,NA,NA,67,"White","HS or Less",1,"(57,86]","Male","Independent"
"816",NA,NA,NA,"[1,4]",34,"White","HS or Less",2,"[18,40]","Female","Independent"
"817",NA,NA,NA,"[1,4]",80,"White","Some College",1,"(57,86]","Male","Democrat"
"818","High Speed",0,0,"(4,6]",58,"White","College",1,"(57,86]","Female","Independent"
"819","Dial-Up",0,0,"[1,4]",59,"White","College",1,"(57,86]","Male","Repubican"
"820",NA,NA,NA,"(4,6]",61,"White","College",1,"(57,86]","Male","Democrat"
"821","High Speed",0,0,"(4,6]",59,"White","College",1,"(57,86]","Female","Democrat"
"822",NA,NA,NA,NA,NA,"Non-Whte",NA,3,NA,"Female","Independent"
"823",NA,NA,NA,"[1,4]",27,"White","HS or Less",3,"[18,40]","Male","Independent"
"824","Dial-Up",0,0,"[1,4]",32,"Non-Whte","HS or Less",3,"[18,40]","Male","Independent"
"825",NA,NA,NA,NA,NA,"White","College",1,NA,"Female","Independent"
"826",NA,NA,NA,"(4,6]",53,"White","College",1,"(40,57]","Male","Independent"
"827",NA,NA,NA,"[1,4]",74,"White","HS or Less",1,"(57,86]","Male","Independent"
"828","High Speed",0,0.5,"(6,8]",53,"White","Some College",1,"(40,57]","Female","Independent"
"829",NA,NA,NA,"[1,4]",75,"White","College",1,"(57,86]","Female","Democrat"
"830",NA,NA,NA,NA,52,"White","HS or Less",1,"(40,57]","Male","Democrat"
"831",NA,NA,NA,"[1,4]",58,"White","Some College",1,"(57,86]","Female","Democrat"
"832","Dial-Up",0,0,"[1,4]",NA,"White","Some College",1,NA,"Female","Democrat"
"833","High Speed",NA,NA,"[1,4]",26,"White","Some College",NA,"[18,40]","Male","Independent"
"834",NA,NA,NA,"(4,6]",61,"White","HS or Less",2,"(57,86]","Male","Independent"
"835","Dial-Up",0,0,"(4,6]",26,"White","Some College",3,"[18,40]","Female","Independent"
"836",NA,NA,NA,NA,65,"White","HS or Less",4,"(57,86]","Female","Democrat"
"837",NA,NA,NA,"[1,4]",29,"White","Some College",1,"[18,40]","Male","Repubican"
"838","Dial-Up",0,0,"[1,4]",29,"White","HS or Less",1,"[18,40]","Male","Repubican"
"839",NA,NA,NA,NA,46,"White","HS or Less",2,"(40,57]","Female","Independent"
"840","Dial-Up",0,0,"(6,8]",64,"White","College",1,"(57,86]","Male","Repubican"
"841","High Speed",NA,NA,"(4,6]",58,"Non-Whte","College",1,"(57,86]","Male","Independent"
"842","High Speed",0,0,"(4,6]",58,"Non-Whte","Some College",1,"(57,86]","Male","Democrat"
"843","High Speed",0,0,"(4,6]",47,"White","HS or Less",1,"(40,57]","Female","Repubican"
"844","Dial-Up",NA,NA,"(4,6]",60,"White","College",1,"(57,86]","Female","Independent"
"845","High Speed",0,0,"(4,6]",74,"White","College",1,"(57,86]","Female","Repubican"
"846",NA,0,0,"(6,8]",54,"White","College",1,"(40,57]","Female","Democrat"
"847","Dial-Up",NA,NA,"(6,8]",64,"White","Some College",1,"(57,86]","Female","Independent"
"848",NA,NA,NA,"[1,4]",44,"Non-Whte","HS or Less",2,"(40,57]","Male","Democrat"
"849","High Speed",NA,NA,"(6,8]",27,"White","College",1,"[18,40]","Female","Democrat"
"850","High Speed",0,0,"[1,4]",22,"Non-Whte","Some College",1,"[18,40]","Male","Democrat"
"851",NA,NA,NA,NA,57,"White","Some College",1,"(40,57]","Male","Independent"
"852","Dial-Up",0,0,"(6,8]",45,"White","College",1,"(40,57]","Female","Repubican"
"853",NA,NA,NA,"(4,6]",36,"White","HS or Less",NA,"[18,40]","Female","Democrat"
"854",NA,NA,NA,"[1,4]",54,"White","Some College",2,"(40,57]","Female","Independent"
