"","broadband","blogs","onlinenews","income","age","race","educ1","interest","age1","sex","pid"
"1582","High Speed",NA,NA,"[1,4]",47,"White","Some College",1,"(40,57]","Male","Independent"
"1583",NA,NA,NA,"(4,6]",56,"White","HS or Less",1,"(40,57]","Male","Repubican"
"1584","Dial-Up",NA,NA,"(4,6]",19,"White","Some College",2,"[18,40]","Male","Repubican"
"1585",NA,NA,NA,NA,78,"White","Some College",1,"(57,86]","Female","Independent"
"1586","Dial-Up",NA,NA,"(6,8]",60,"White","HS or Less",1,"(57,86]","Male","Independent"
"1587","Dial-Up",0.5,0.5,"[1,4]",18,"Non-Whte","HS or Less",2,"[18,40]","Male","Democrat"
"1588",NA,NA,NA,"[1,4]",32,"Non-Whte","HS or Less",1,"[18,40]","Female","Democrat"
"1589",NA,NA,NA,"(4,6]",42,"White","HS or Less",4,"(40,57]","Female","Independent"
"1590",NA,NA,NA,"[1,4]",62,"White","HS or Less",1,"(57,86]","Female","Repubican"
"1591","High Speed",NA,NA,"(6,8]",65,"White","College",1,"(57,86]","Male","Repubican"
"1592","High Speed",NA,NA,"(4,6]",21,"White","Some College",2,"[18,40]","Male","Repubican"
"1593","High Speed",0,0,"(4,6]",57,"White","College",1,"(40,57]","Male","Democrat"
"1594",NA,NA,NA,NA,19,"Non-Whte","HS or Less",1,"[18,40]","Male","Independent"
"1595","High Speed",0,0,"(6,8]",52,"Non-Whte","College",1,"(40,57]","Female","Democrat"
"1596","High Speed",0,0,"(6,8]",41,"White","College",1,"(40,57]","Male","Independent"
"1597","Dial-Up",NA,NA,"[1,4]",33,"Non-Whte","College",2,"[18,40]","Male","Democrat"
"1598","Dial-Up",NA,NA,"(4,6]",43,"Non-Whte","Some College",2,"(40,57]","Female","Independent"
"1599","High Speed",0,0,"(4,6]",25,"Non-Whte","HS or Less",4,"[18,40]","Male","Independent"
"1600",NA,NA,NA,"[1,4]",54,"Non-Whte","Some College",3,"(40,57]","Female","Independent"
"1601",NA,NA,NA,"[1,4]",44,"Non-Whte","HS or Less",4,"(40,57]","Female","Democrat"
"1602","High Speed",NA,NA,"[1,4]",43,"White","College",1,"(40,57]","Female","Independent"
"1603",NA,NA,0,"(4,6]",62,"White","Some College",1,"(57,86]","Female","Repubican"
